road,lrp1,lrp2,name,gap,newspeed
N1,N1_LRP183a,N1_LRP184a,N1_LRP183a-N1_LRP184a,BRIDGE,70
N1,N1_LRP184a,N1_LRP184b,N1_LRP184a-N1_LRP184b,ROAD,70
N1,N1_LRP184b,N1_LRP184c,N1_LRP184b-N1_LRP184c,ROAD,70
N1,N1_LRP184c,N1_LRP185,N1_LRP184c-N1_LRP185,ROAD,70
N1,N1_LRP185,N1_LRP185a,N1_LRP185-N1_LRP185a,ROAD,70
N1,N1_LRP185a,N1_LRP185b,N1_LRP185a-N1_LRP185b,ROAD,70
N1,N1_LRP185b,N1_LRP186,N1_LRP185b-N1_LRP186,ROAD,70
N1,N1_LRP186,N1_LRP186a,N1_LRP186-N1_LRP186a,ROAD,70
N1,N1_LRP186a,N1_LRP187,N1_LRP186a-N1_LRP187,ROAD,70
N1,N1_LRP187,N1_LRP187a,N1_LRP187-N1_LRP187a,ROAD,70
N1,N1_LRP187a,N1_LRP187b,N1_LRP187a-N1_LRP187b,BRIDGE,70
N1,N1_LRP187b,N1_LRP188,N1_LRP187b-N1_LRP188,ROAD,70
N1,N1_LRP188,N1_LRP188a,N1_LRP188-N1_LRP188a,ROAD,70
N1,N1_LRP188a,N1_LRP189,N1_LRP188a-N1_LRP189,ROAD,70
N1,N1_LRP189,N1_LRP189a,N1_LRP189-N1_LRP189a,ROAD,70
N1,N1_LRP189a,N1_LRP190,N1_LRP189a-N1_LRP190,ROAD,70
N1,N1_LRP190,N1_LRP190a,N1_LRP190-N1_LRP190a,ROAD,70
N1,N1_LRP190a,N1_LRP191,N1_LRP190a-N1_LRP191,ROAD,70
N1,N1_LRP191,N1_LRP191a,N1_LRP191-N1_LRP191a,ROAD,70
N1,N1_LRP191a,N1_LRP192,N1_LRP191a-N1_LRP192,ROAD,70
N1,N1_LRP192,N1_LRP192a,N1_LRP192-N1_LRP192a,ROAD,70
N1,N1_LRP192a,N1_LRP192b,N1_LRP192a-N1_LRP192b,ROAD,70
N1,N1_LRP192b,N1_LRP193,N1_LRP192b-N1_LRP193,ROAD,70
N1,N1_LRP193,N1_LRP193a,N1_LRP193-N1_LRP193a,ROAD,70
N1,N1_LRP193a,N1_LRP193b,N1_LRP193a-N1_LRP193b,ROAD,70
N1,N1_LRP193b,N1_LRP194,N1_LRP193b-N1_LRP194,ROAD,70
N1,N1_LRP194,N1_LRP194a,N1_LRP194-N1_LRP194a,ROAD,70
N1,N1_LRP194a,N1_LRP194b,N1_LRP194a-N1_LRP194b,ROAD,70
N1,N1_LRP194b,N1_LRP194c,N1_LRP194b-N1_LRP194c,ROAD,70
N1,N1_LRP194c,N1_LRP195,N1_LRP194c-N1_LRP195,ROAD,70
N1,N1_LRP195,N1_LRP195a,N1_LRP195-N1_LRP195a,ROAD,70
N1,N1_LRP195a,N1_LRP196,N1_LRP195a-N1_LRP196,ROAD,70
N1,N1_LRP196,N1_LRP196a,N1_LRP196-N1_LRP196a,ROAD,70
N1,N1_LRP196a,N1_LRP196b,N1_LRP196a-N1_LRP196b,ROAD,70
N1,N1_LRP196b,N1_LRP197,N1_LRP196b-N1_LRP197,ROAD,70
N1,N1_LRP197,N1_LRP197a,N1_LRP197-N1_LRP197a,ROAD,70
N1,N1_LRP197a,N1_LRP197b,N1_LRP197a-N1_LRP197b,ROAD,70
N1,N1_LRP197b,N1_LRP198,N1_LRP197b-N1_LRP198,ROAD,70
N1,N1_LRP198,N1_LRP198a,N1_LRP198-N1_LRP198a,ROAD,70
N1,N1_LRP198a,N1_LRP198b,N1_LRP198a-N1_LRP198b,ROAD,70
N1,N1_LRP198b,N1_LRP198c,N1_LRP198b-N1_LRP198c,ROAD,70
N1,N1_LRP198c,N1_LRP199,N1_LRP198c-N1_LRP199,ROAD,70
N1,N1_LRP199,N1_LRP199a,N1_LRP199-N1_LRP199a,ROAD,70
N1,N1_LRP199a,N1_LRP199b,N1_LRP199a-N1_LRP199b,ROAD,70
N1,N1_LRP199b,N1_LRP200,N1_LRP199b-N1_LRP200,ROAD,70
N1,N1_LRP200,N1_LRP200a,N1_LRP200-N1_LRP200a,ROAD,70
N1,N1_LRP200a,N1_LRP200b,N1_LRP200a-N1_LRP200b,ROAD,70
N1,N1_LRP200b,N1_LRP201,N1_LRP200b-N1_LRP201,ROAD,70
N1,N1_LRP201,N1_LRP201a,N1_LRP201-N1_LRP201a,ROAD,70
N1,N1_LRP201a,N1_LRP201b,N1_LRP201a-N1_LRP201b,ROAD,70
N1,N1_LRP201b,N1_LRP202,N1_LRP201b-N1_LRP202,ROAD,70
N1,N1_LRP202,N1_LRP202a,N1_LRP202-N1_LRP202a,ROAD,70
N1,N1_LRP202a,N1_LRP203,N1_LRP202a-N1_LRP203,ROAD,70
N1,N1_LRP203,N1_LRP203a,N1_LRP203-N1_LRP203a,ROAD,70
N1,N1_LRP203a,N1_LRP203b,N1_LRP203a-N1_LRP203b,ROAD,70
N1,N1_LRP203b,N1_LRP204,N1_LRP203b-N1_LRP204,ROAD,70
N1,N1_LRP204,N1_LRP204a,N1_LRP204-N1_LRP204a,ROAD,70
N1,N1_LRP204a,N1_LRP204b,N1_LRP204a-N1_LRP204b,ROAD,70
N1,N1_LRP204b,N1_LRP204c,N1_LRP204b-N1_LRP204c,ROAD,70
N1,N1_LRP204c,N1_LRP204d,N1_LRP204c-N1_LRP204d,BRIDGE,70
N1,N1_LRP204d,N1_LRP204f,N1_LRP204d-N1_LRP204f,ROAD,70
N1,N1_LRP204f,N1_LRP205,N1_LRP204f-N1_LRP205,ROAD,70
N1,N1_LRP205,N1_LRP205a,N1_LRP205-N1_LRP205a,ROAD,70
N1,N1_LRP205a,N1_LRP205b,N1_LRP205a-N1_LRP205b,ROAD,70
N1,N1_LRP205b,N1_LRP206,N1_LRP205b-N1_LRP206,ROAD,70
N1,N1_LRP206,N1_LRP206a,N1_LRP206-N1_LRP206a,ROAD,70
N1,N1_LRP206a,N1_LRP207,N1_LRP206a-N1_LRP207,ROAD,70
N1,N1_LRP207,N1_LRP207a,N1_LRP207-N1_LRP207a,ROAD,70
N1,N1_LRP207a,N1_LRP207b,N1_LRP207a-N1_LRP207b,ROAD,70
N1,N1_LRP207b,N1_LRP207c,N1_LRP207b-N1_LRP207c,ROAD,70
N1,N1_LRP207c,N1_LRP207d,N1_LRP207c-N1_LRP207d,ROAD,70
N1,N1_LRP207d,N1_LRP208,N1_LRP207d-N1_LRP208,ROAD,70
N1,N1_LRP208,N1_LRP208a,N1_LRP208-N1_LRP208a,ROAD,70
N1,N1_LRP208a,N1_LRP209,N1_LRP208a-N1_LRP209,ROAD,70
N1,N1_LRP209,N1_LRP209a,N1_LRP209-N1_LRP209a,ROAD,70
N1,N1_LRP209a,N1_LRP209b,N1_LRP209a-N1_LRP209b,BRIDGE,70
N1,N1_LRP209b,N1_LRP209c,N1_LRP209b-N1_LRP209c,ROAD,70
N1,N1_LRP209c,N1_LRP209d,N1_LRP209c-N1_LRP209d,ROAD,70
N1,N1_LRP209d,N1_LRP210,N1_LRP209d-N1_LRP210,ROAD,70
N1,N1_LRP210,N1_LRP210a,N1_LRP210-N1_LRP210a,ROAD,70
N1,N1_LRP210a,N1_LRP210b,N1_LRP210a-N1_LRP210b,BRIDGE,70
N1,N1_LRP210b,N1_LRP211,N1_LRP210b-N1_LRP211,ROAD,70
N1,N1_LRP211,N1_LRP211a,N1_LRP211-N1_LRP211a,ROAD,70
N1,N1_LRP211a,N1_LRP211b,N1_LRP211a-N1_LRP211b,ROAD,70
N1,N1_LRP211b,N1_LRP211c,N1_LRP211b-N1_LRP211c,BRIDGE,70
N1,N1_LRP211c,N1_LRP211d,N1_LRP211c-N1_LRP211d,ROAD,70
N1,N1_LRP211d,N1_LRP212,N1_LRP211d-N1_LRP212,ROAD,70
N1,N1_LRP212,N1_LRP213,N1_LRP212-N1_LRP213,ROAD,70
N1,N1_LRP213,N1_LRP213a,N1_LRP213-N1_LRP213a,ROAD,70
N1,N1_LRP213a,N1_LRP213b,N1_LRP213a-N1_LRP213b,BRIDGE,70
N1,N1_LRP213b,N1_LRP214,N1_LRP213b-N1_LRP214,ROAD,70
N1,N1_LRP214,N1_LRP214a,N1_LRP214-N1_LRP214a,ROAD,70
N1,N1_LRP214a,N1_LRP215,N1_LRP214a-N1_LRP215,ROAD,70
N1,N1_LRP215,N1_LRP215a,N1_LRP215-N1_LRP215a,ROAD,70
N1,N1_LRP215a,N1_LRP216,N1_LRP215a-N1_LRP216,ROAD,70
N1,N1_LRP216,N1_LRP216a,N1_LRP216-N1_LRP216a,ROAD,70
N1,N1_LRP216a,N1_LRP216b,N1_LRP216a-N1_LRP216b,BRIDGE,70
N1,N1_LRP216b,N1_LRP217,N1_LRP216b-N1_LRP217,ROAD,70
N1,N1_LRP217,N1_LRP217a,N1_LRP217-N1_LRP217a,ROAD,70
N1,N1_LRP217a,N1_LRP217b,N1_LRP217a-N1_LRP217b,BRIDGE,70
N1,N1_LRP217b,N1_LRP217c,N1_LRP217b-N1_LRP217c,ROAD,70
N1,N1_LRP217c,N1_LRP217d,N1_LRP217c-N1_LRP217d,ROAD,70
N1,N1_LRP217d,N1_LRP217e,N1_LRP217d-N1_LRP217e,BRIDGE,70
N1,N1_LRP217e,N1_LRP218,N1_LRP217e-N1_LRP218,ROAD,70
N1,N1_LRP218,N1_LRP218a,N1_LRP218-N1_LRP218a,ROAD,70
N1,N1_LRP218a,N1_LRP218b,N1_LRP218a-N1_LRP218b,BRIDGE,70
N1,N1_LRP218b,N1_LRP218c,N1_LRP218b-N1_LRP218c,ROAD,70
N1,N1_LRP218c,N1_LRP218d,N1_LRP218c-N1_LRP218d,BRIDGE,70
N1,N1_LRP218d,N1_LRP218e,N1_LRP218d-N1_LRP218e,ROAD,70
N1,N1_LRP218e,N1_LRP219,N1_LRP218e-N1_LRP219,ROAD,70
N1,N1_LRP219,N1_LRP219a,N1_LRP219-N1_LRP219a,ROAD,70
N1,N1_LRP219a,N1_LRP219b,N1_LRP219a-N1_LRP219b,BRIDGE,70
N1,N1_LRP219b,N1_LRP220,N1_LRP219b-N1_LRP220,ROAD,70
N1,N1_LRP220,N1_LRP220a,N1_LRP220-N1_LRP220a,ROAD,70
N1,N1_LRP220a,N1_LRP221,N1_LRP220a-N1_LRP221,ROAD,70
